text,intent,escalation_required,language_style,difficulty,scenario_type,notes,tags
I am completely dissatisfied. Give my money back.,refund,true,,,,confusion pair example,"[""confusion_pair""]"
Cheated,complaint,true,,,,very short message,[]
I need technical help with the API and also a pricing question.,technical_support,false,,,,v3 bulk multi3,"[""multi_intent""]"
mujhe aapki service ke baare mein online reviews nahi mile,general_question,false,,,,,"[""hinglish""]"
file preview is malfunctioning.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
How long does setup take?,general_question,false,,,,general info question,"[""standard""]"
mujhe aapki service ka live demo dikhao,sales,false,,,,v3 bulk hinglish,"[""hinglish""]"
The calendar sync is not loading properly.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
Bas puchh raha tha. Koi escalate nahi karna.,general_question,false,,,,v3 bulk esc-3,"[""hard_negative_escalation"", ""hinglish""]"
Account locked.,account_issue,true,,,,v4 short,"[""standard""]"
kya aap Hindi mein bhi support dete ho,general_question,false,,,,,"[""hinglish""]"
kya apke yaha onboarding support milta hai?,general_question,false,,,,general info question,"[""standard""]"
You lost my trust. I'm leaving bad reviews everywhere.,complaint,true,,,,bulk addition 2,"[""standard""]"
i cant see my billng info,pricing,false,,,,spelling/noisy text,"[""noisy""]"
The customer portal feature seems to be broken.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
Error,technical_support,false,,,,very short message,[]
kya aapke yaha discount milta hai festive season mein?,general_question,false,,,,hinglish general question,"[""hinglish""]"
Is role management available in all plans?,general_question,false,,,,bulk addition 4,"[""standard""]"
File upload limit 0 bytes par atka hua hai.,technical_support,false,,,,hinglish technical support,"[""hinglish""]"
mera account ka data export karo,general_question,false,,,,v3 bulk hinglish,"[""hinglish""]"
This is both a complaint and a question about pricing.,pricing,false,,,,multi-intent example,"[""multi_intent""]"
The API endpoint is broken after the latest update.,technical_support,false,,,,bulk addition 4,"[""standard""]"
The webhook integration is broken after the latest update.,technical_support,false,,,,bulk addition 4,"[""standard""]"
How do I set up accessibility options?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
kya ye app India mein available hai?,general_question,false,,,,general info question,"[""standard""]"
can u help me setup my account plz,account_issue,false,,,,v3 bulk noisy,"[""noisy""]"
Can you explain performance monitoring?,general_question,false,,,,v3 bulk gq,"[""standard""]"
hw 2 upgrate my plan from basic to pro,sales,false,,,,v3 bulk noisy,"[""noisy""]"
I am unable to use the color picker correctly.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
How much does migration cost?,pricing,false,,,,pricing question,"[""standard"", ""pricing""]"
LinkedIn login broke my existing account.,account_issue,false,,,,bulk addition,"[""standard""]"
i wnt my subscripion canclld,sales,false,,,,v3 noisy,"[""noisy""]"
Team plan ka proforma invoice bhejo.,sales,false,,,,hinglish sales,"[""hinglish""]"
Do you have a grace period for late renewals?,general_question,false,,,,bulk addition,"[""standard""]"
how much dose the pro plan cost?,pricing,false,,,,spelling/noisy text,"[""noisy""]"
Money back!,refund,true,,,,very short message,[]
Your error caused me to miss a critical business deadline.,technical_support,true,,,,v3 bulk esc+,"[""escalation_positive""]"
What is the cost of dedicated server?,pricing,false,,,,v3 bulk pricing,"[""standard"", ""pricing""]"
Your service didn't work as advertised. I want my money back.,refund,true,,,,v3 balance,"[""standard""]"
$50 plan mein kya kya aata hai?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
need help with my accnt asap,account_issue,true,,,,v4 noisy,"[""noisy""]"
aapne mujhe block kyu kar diya unblock karo,account_issue,true,,,,,"[""hinglish""]"
how many users can i ad,product_question,false,,,,spelling/noisy text,"[""noisy""]"
I'm interested in buying but I need to understand the features first,product_question,false,,,,v3 multi-intent,"[""multi_intent""]"
i dont lik this servis at all,complaint,false,,,,v3 noisy,"[""noisy""]"
The app crashes every time I upload a file.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Your platform is a joke and my account doesn't work.,account_issue,false,,,,confusion pair example,"[""confusion_pair""]"
My workflow automation is not working.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
I regret choosing your platform over competitors.,complaint,false,,,,v3 balance,"[""standard""]"
Mera issue resolved nahi ho raha hai since 3 days,technical_support,false,,,,,"[""hinglish""]"
How do I set up search filters?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
What is the cost of additional users?,pricing,false,,,,v3 bulk pricing,"[""standard"", ""pricing""]"
Can you help me fix The chart generator?,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
Tell me about your product and your pricing,product_question,false,,,,v3 multi-intent,"[""multi_intent""]"
I'm not sure if I need support or I should just cancel.,general_question,false,,,,bulk addition 5,"[""confusion_pair""]"
Complaint here,complaint,false,,,,very short message,[]
mujhe apna password reset karna hai,account_issue,false,,,,,"[""hinglish""]"
Can I have multiple workspaces?,general_question,false,,,,general info question,"[""standard""]"
knowledge base search stopped responding.,technical_support,false,,,,v3 bulk tech2,"[""standard"", ""technical""]"
How does keyboard shortcuts affect my account?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
Please no calls. SMS or email is better for me.,general_question,false,,,,v3 esc hard neg,"[""hard_negative_escalation""]"
How do I check my current plan details?,general_question,false,,,,v3 balance3,"[""standard""]"
I'm both happy with the product and frustrated with support.,complaint,false,,,,v3 bulk multi3,"[""multi_intent""]"
Stop the chatbot. Give me a human agent.,human_request,true,,,,v3 confusion: human vs sales,"[""standard""]"
two factor auth not wrking,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
My account got hacked and I need to speak to someone,account_issue,true,,,,v3 multi-intent,"[""multi_intent""]"
the buton is not workin on my page,technical_support,false,,,,v3 noisy,"[""noisy""]"
two-factor authentication support karte ho?,product_question,false,,,,hinglish product question,"[""hinglish""]"
Is there a way to request new features?,general_question,false,,,,v3 balance,"[""standard""]"
my team member cant join the workspace,account_issue,false,,,,spelling/noisy text,"[""noisy""]"
I don't need anyone to reach out. Just acknowledge my message.,general_question,false,,,,v3 esc hard neg,"[""hard_negative_escalation""]"
the updat brok evrythin im angy,technical_support,true,,,,bulk addition 3,"[""noisy""]"
Talk to human about technical support for billing issue.,technical_support,true,,,,bulk addition,"[""multi_intent""]"
GST included hai price mein?,pricing,false,,,,hinglish pricing,"[""hinglish""]"
wer can i find the setings,general_question,false,,,,bulk addition,"[""noisy""]"
Mujhe aapki service se help chahiye aur price bhi puchhna hai.,general_question,false,,,,v3 bulk multi hinglish,"[""multi_intent"", ""hinglish""]"
What is 2+2?,other,false,,,,confusion pair example,"[""confusion_pair""]"
Can you guide me through file organization?,general_question,false,,,,v3 bulk gq3,"[""standard""]"
How do I set up bulk operations?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
I want to complain about your service and get a refund,refund,true,,,,v3 multi-intent,"[""multi_intent""]"
"Don't transfer me, just help me here",general_question,false,,,,v3 negation,"[""negation""]"
How do I set up export options?,general_question,false,,,,v3 bulk gq2,"[""standard""]"
I get an error when using The webhook integration.,technical_support,false,,,,v3 bulk tech,"[""standard"", ""technical""]"
This is the fourth time I'm reporting the same bug.,technical_support,true,,,,v3 esc hard pos,"[""escalation_positive""]"
Is there a tutorial for data export?,general_question,false,,,,v3 bulk gq,"[""standard""]"
Is there a number I can call to speak to someone?,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
mujhe aapke software ke saath Google Sheets sync chahiye,product_question,false,,,,v3 bulk hinglish3,"[""hinglish""]"
Encountering problems with the color picker.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
What do I need to know about billing?,general_question,false,,,,v3 bulk gq,"[""standard""]"
aapne mujhe double charge kiya tha lekin ab refund kar diya,refund,false,,,,v4 hinglish,"[""hinglish"", ""resolution_state""]"
hello ji,other,false,,,,other / off-topic,"[""standard"", ""other""]"
the app keps crashin every 5 minits,technical_support,false,,,,bulk addition 2,"[""noisy""]"
the tag system is giving me trouble.,technical_support,false,,,,v3 bulk tech3,"[""standard"", ""technical""]"
aapki app ki design bahut achi hai,other,false,,,,v4 hinglish,"[""hinglish""]"
i m very angery,complaint,false,,,,spelling/noisy text,"[""noisy""]"
