text,intent,escalation_required,language_style,difficulty,scenario_type,notes,tags
The mobile app keeps failing.,technical_support,false,,,,bulk addition 4,"[""standard""]"
Help!,general_question,true,,,,very short message,[]
How do I get a refund?,refund,true,,,,refund demand,"[""escalation_positive"", ""refund""]"
What's the best way to get started?,general_question,false,,,,bulk addition,"[""standard""]"
I'm both requesting a refund and reporting a bug.,refund,true,,,,bulk addition 3,"[""multi_intent""]"
i cnt acess my acount fr 3 days,account_issue,true,,,,spelling/noisy text,"[""noisy""]"
Payment failed and customer support nahi mil raha. Help.,technical_support,true,,,,multi-intent example,"[""multi_intent""]"
How do I change my notification preferences?,general_question,false,,,,bulk addition,"[""standard""]"
Can I self-host your software?,general_question,false,,,,general info question,"[""standard""]"
Where can I find documentation about backup?,general_question,false,,,,bulk addition 4,"[""standard""]"
The template preview stopped working suddenly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
i payd for premimum but got basic features,account_issue,true,,,,bulk addition 2,"[""noisy""]"
Great service,other,false,,,,very short message,[]
Mujhe custom domain chahiye. Kaise set kare?,product_question,false,,,,hinglish example,"[""hinglish""]"
Your product is great but the pricing is confusing. Can you explain?,pricing,false,,,,multi-intent example,"[""multi_intent""]"
What is the cost of extra storage?,pricing,false,,,,bulk addition 4,"[""standard""]"
The webhook integration stopped working suddenly.,technical_support,false,,,,bulk addition 4,"[""standard""]"
How much for premium support?,pricing,false,,,,bulk addition 4,"[""standard""]"
Is there a customer satisfaction survey?,product_question,false,,,,bulk addition,"[""standard""]"
Is there a file size limit?,product_question,false,,,,bulk addition 3,"[""standard""]"
You charged me after I cancelled. Give me my money back.,refund,true,,,,bulk addition,"[""standard""]"
i m lockd out of my acunt HELPP,account_issue,true,,,,spelling/noisy text,"[""noisy""]"
Can someone please call me regarding my account?,human_request,true,,,,bulk addition,"[""standard""]"
Do I need to configure the dashboard manually?,general_question,false,,,,bulk addition 4,"[""standard""]"
My workflow automation stopped mid-execution.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Mujhe enterprise plan ka quote chahiye,pricing,false,,,,hinglish pricing,"[""hinglish""]"
What is your policy on data retention?,general_question,false,,,,bulk addition 3,"[""standard""]"
kya mere data safe hai?,general_question,false,,,,general info question,"[""standard""]"
Refund my payment immediately or I'll take legal action.,refund,true,,,,bulk addition,"[""standard""]"
aapka customer support number kya hai?,general_question,false,,,,hinglish general question,"[""hinglish""]"
How much?,pricing,false,,,,very short message,[]
Mujhe refund aur technical support dono chahiye.,refund,true,,,,bulk addition 2,"[""multi_intent""]"
I need both account recovery and a human on the line.,account_issue,true,,,,bulk addition 2,"[""multi_intent""]"
im havin truble wit the softwar,technical_support,false,,,,spelling/noisy text,"[""noisy""]"
the app is crashin on my iphone,technical_support,false,,,,bulk addition 5,"[""noisy""]"
How does the integration wizard work in your platform?,general_question,false,,,,bulk addition 4,"[""standard""]"
your support is helplss,complaint,false,,,,spelling/noisy text,"[""noisy""]"
Do I pay extra for the enterprise add-on?,pricing,false,,,,bulk addition 4,"[""standard""]"
I need to talk to an actual human being.,human_request,true,,,,human request,"[""escalation_positive"", ""human_request""]"
The search function returns no results for existing data.,technical_support,false,,,,technical issue,"[""standard"", ""technical""]"
Can the integration wizard be disabled?,general_question,false,,,,bulk addition 4,"[""standard""]"
I was frustrated earlier but it's working.,technical_support,false,,,,bulk addition 3,"[""hard_negative_escalation""]"
refnd my paymant r i will su u,refund,true,,,,spelling/noisy text,"[""noisy""]"
